token_id,image,Background,Skin Tone,Body Shape,Top,Eyebrows,Eye Style,Eye Color,Mouth,Hair (Front),Hair (Back),Hair Color,Hat,Necklace,Archetype of Power,Sun Sign,Moon Sign,Rising Sign,Will,Wisdom,Wonder,Woe,Wit,Wiles,Face Markings,Facewear,Hair Topper,Back Item,Earrings,Forehead Jewelry,Hair (Middle),Mask,Outerwear
1,https://cryptocoven.s3.amazonaws.com/nyx.png,Sepia,Dawn,Lithe,Sheer Top (Black),Medium Flat (Black),Nyx,Cloud,Nyx (Mocha),Nyx,Nyx Long,Steel,Witch (Black),Moon Necklace (Silver),Witch of Woe,Taurus,Aquarius,Capricorn,9,9,9,10,9,9,,,,,,,,,
2,https://cryptocoven.s3.amazonaws.com/aletheia.png,Sepia,Dawn,Lithe,Mock Neck (Black),Medium Flat (Black),Aletheia,Aquamarine,Aletheia (Mauve),Aletheia,Aletheia,Mauve,Witch (Black),,Witch of Wisdom,Taurus,Capricorn,Leo,9,10,9,9,9,9,Cheekbone Mole,,,,,,,,
3,https://cryptocoven.s3.amazonaws.com/xuannu.png,Sage,Dawn,Lithe,Wispy Robe (Cinnamon),Round (Navy),Xuannu,Garnet,Xuannu (Cinnamon),Xuannu,Xuannu,Navy,,,Witch of Will,Capricorn,Gemini,Aquarius,10,9,9,9,9,9,,Pearl Circlet (Garnet),Hairpins,,,,,,
4,https://cryptocoven.s3.amazonaws.com/aradia.png,Dusty Rose,Twilight,Lithe,Off Shoulder (Black),Bushy (White),Aradia,Amethyst,Aradia (Rose Gold),Aradia,Aradia,Silver,,Leather Wrap (Brown),Witch of Wonder,Scorpio,Sagittarius,Scorpio,9,9,10,9,9,9,Aradia (Henna),Pearl Band (Amethyst),Jeweled Antlers,,,,,,
5,https://cryptocoven.s3.amazonaws.com/keridwen.png,Plum,Twilight,Lithe,Open Collar with Bow (Black),Arched (Brown),Keridwen,Hazel,Keridwen (Umber),Keridwen,Keridwen,Auburn,,,Witch of Wit,Aquarius,Cancer,Gemini,9,9,9,9,10,9,,,Star Circlet,,,,,,
6,https://cryptocoven.s3.amazonaws.com/ca44b26fd516964611f021ba22490a17.png,Pink,Dusk,Soft,Mugler Tailored (Black),Strong (Black),Circle Lens,Pink,Round (Dark),Curtain,,Navy,Dita Disk (Black),,Necromancer,Virgo,Cancer,Capricorn,9,4,6,9,0,1,,Jeweled Septum Ring (Blue),,Lily,,,,,
7,https://cryptocoven.s3.amazonaws.com/7de4097b77a1e57a77a46450ebbbcf4b.png,Pink,Twilight,Chiseled,Sheer Sleeves (Black),Arched (Brown),Sunset Almond,Red,Parted (Beige),Curl Cloud,Curl Cloud,Lavender,,,Necromancer,Leo,Leo,Taurus,9,9,8,8,4,0,,Sad Girl Tears,,,Pearly Skulls (Silver),,,,
8,https://cryptocoven.s3.amazonaws.com/4d3b962914ef2671bb5edb52204091ec.png,Taupe,Dusk,Lithe,Striped Shroud (Umber),Medium Flat (Black),Reverse Cateye,Opal,Glossy Medusa (Natural),Aradia,Aradia,Ash,,,Seer,Sagittarius,Gemini,Leo,3,3,3,1,2,0,Freckles,,,,,Raised Third Eye (Red),,,
9,https://cryptocoven.s3.amazonaws.com/817c0502e9c9d45b154147cff43bd6d1.png,Plum,Dawn,Lithe,Mugler Tailored (White),Thin Arched (Grey),Reverse Cateye,Opal,Parted (Black),Bald,,,Hoodlondon Hathor (Gold),,Seer,Gemini,Taurus,Pisces,4,8,8,3,7,0,Eye of Hinoto,Labret (Silver),,,Howl Gems (Green),,,,
10,https://cryptocoven.s3.amazonaws.com/e3b346d2af17b81b2deb43abb68b421f.png,Rust,Dusk,Lithe,Shroud (Lilac),Pencil (White),Hooded Side,Gold,Bow (Dusk),Keridwen,Keridwen,Auburn,,,Hag,Aquarius,Capricorn,Scorpio,2,9,5,4,7,1,,,Leafy Crown,Chinese Lantern,,,Cute Buns,,
11,https://cryptocoven.s3.amazonaws.com/f483fcb1d5a6508be2a85e7ce2b01cbc.png,Rust,Twilight,Chiseled,Mugler Slashed (Black),Thin Arched (Grey),Circle Lens,Bicolor Pink Turquoise,Thin Smirk (Orange),Bald,,,Witch,,Occultist,Aries,Taurus,Sagittarius,4,3,7,8,8,9,Eye of Hinoto,,,,,,,,
